# Gnuplot File : forces of 21 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
0.11	2660.9 -1.17274 0 0 0 -2.04995	-2664.03 -0.710387 0 0 0 -0.141216	0.0118344 0.389177 0 0 0 0.794954	0.550338 -0.774868 0 0 0 -0.660474	-0.0568292 -0.105137 0 0 0 0.835998	0.484849 -0.185611 0 0 0 -0.633922	0.248743 -0.929084 0 0 0 0.516868	0.295307 0.182872 0 0 0 -0.451064	0.259607 -0.942741 0 0 0 0.341308	0.272663 -0.416371 0 0 0 -0.312491	0.117737 -0.181722 0 0 0 0.159662	0.281762 -0.915 0 0 0 -0.0218349	0.0628645 -0.257891 0 0 0 -0.0611581	0.186895 -0.436276 0 0 0 0.0684582	0.0877542 -0.712473 0 0 0 -0.0343568	0.0949429 -0.149125 0 0 0 0.0105658	0.0504731 -0.694497 0 0 0 0.0564964	0.105827 -0.43999 0 0 0 -0.054857	-0.0253597 -0.277579 0 0 0 0.0582456	0.0973161 -0.726922 0 0 0 0.0177578	0.00841314 -0.353639 0 0 0 -0.0594527	
0.12	2420.06 -1.36388 0 0 0 -2.33217	-2421.78 -0.592741 0 0 0 -0.196989	-0.0612649 0.462468 0 0 0 0.828836	0.532197 -0.813857 0 0 0 -0.638611	-0.172532 -0.0167453 0 0 0 0.905512	0.480495 -0.199301 0 0 0 -0.60675	0.163416 -0.984888 0 0 0 0.594553	0.270372 0.108048 0 0 0 -0.579981	0.191283 -0.832737 0 0 0 0.351949	0.214223 -0.507279 0 0 0 -0.409766	0.0525095 -0.122931 0 0 0 0.139036	0.200855 -0.913824 0 0 0 -0.0847821	-0.0106879 -0.133027 0 0 0 -0.0058552	0.102109 -0.505279 0 0 0 0.12908	-0.00188974 -0.730491 0 0 0 -0.000795866	0.00846814 -0.143921 0 0 0 0.0329657	-0.046192 -0.692641 0 0 0 0.0872561	0.00907686 -0.571609 0 0 0 -0.0907432	-0.120621 -0.210502 0 0 0 -0.011573	-0.00585687 -0.702308 0 0 0 -0.00361652	-0.0904839 -0.342549 0 0 0 -0.06346	
0.13	2201.5 -1.46131 0 0 0 -2.56908	-2201.54 -0.648149 0 0 0 -0.247849	-0.132373 0.484139 0 0 0 0.746477	0.508225 -0.778225 0 0 0 -0.683927	-0.295175 -0.0665025 0 0 0 0.835057	0.466988 -0.128896 0 0 0 -0.724007	0.068485 -0.928319 0 0 0 0.605009	0.235177 0.212023 0 0 0 -0.591025	0.114224 -0.885549 0 0 0 0.468025	0.142367 -0.480149 0 0 0 -0.437618	-0.0211382 -0.125561 0 0 0 0.230636	0.0999968 -0.954746 0 0 0 -0.0981377	-0.0932394 -0.246861 0 0 0 -0.0292093	-0.00709624 -0.408391 0 0 0 0.0477877	-0.101237 -0.776262 0 0 0 -0.019974	-0.104788 -0.107587 0 0 0 -0.0032222	-0.154041 -0.693643 0 0 0 0.0819654	-0.114186 -0.49285 0 0 0 -0.0604361	-0.230726 -0.204557 0 0 0 0.0627884	-0.132545 -0.785313 0 0 0 0.0311182	-0.208752 -0.333292 0 0 0 -0.0675965	
0.14	2002.75 -2.04469 0 0 0 -3.05851	-2001.31 -0.337802 0 0 0 -0.581588	-0.199192 0.649632 0 0 0 0.576288	0.489396 -0.770557 0 0 0 -0.701944	-0.410467 0.00742791 0 0 0 0.74437	0.458719 -0.141334 0 0 0 -0.601319	-0.0273736 -0.951127 0 0 0 0.534288	0.217664 0.138791 0 0 0 -0.68596	0.0446938 -0.778174 0 0 0 0.351712	0.0903367 -0.573772 0 0 0 -0.487238	-0.0924902 -0.0293726 0 0 0 0.17223	0.0224885 -0.911028 0 0 0 -0.160076	-0.171598 -0.10973 0 0 0 0.0451952	-0.094875 -0.494614 0 0 0 0.144151	-0.195712 -0.803288 0 0 0 0.0674786	-0.197212 -0.121748 0 0 0 0.0062634	-0.256539 -0.714284 0 0 0 0.093019	-0.218483 -0.647769 0 0 0 -0.13592	-0.333569 -0.143805 0 0 0 -0.0352457	-0.242772 -0.734116 0 0 0 -0.0235621	-0.315979 -0.298636 0 0 0 -0.090383	
0.15	1820.81 -2.0361 0 0 0 -3.21637	-1819.29 -0.538708 0 0 0 -0.703815	-0.204628 0.646671 0 0 0 0.420195	0.50668 -0.741279 0 0 0 -0.640325	-0.501822 -0.0320108 0 0 0 0.524214	0.49796 0.000260156 0 0 0 -0.759625	-0.0447419 -0.948437 0 0 0 0.412463	0.256859 0.352367 0 0 0 -0.472006	0.047081 -0.865715 0 0 0 0.460588	0.123971 -0.521591 0 0 0 -0.452594	-0.0749122 -0.0314359 0 0 0 0.194981	0.0267273 -1.06235 0 0 0 -0.0425957	-0.162898 -0.275321 0 0 0 -0.0656658	-0.0990649 -0.285898 0 0 0 0.00785818	-0.201877 -0.90704 0 0 0 -0.0550832	-0.20903 -0.0417528 0 0 0 -0.029103	-0.270767 -0.71157 0 0 0 0.116829	-0.242763 -0.481784 0 0 0 -0.0677062	-0.351387 -0.10577 0 0 0 0.103642	-0.273699 -0.937929 0 0 0 0.0577059	-0.341145 -0.284611 0 0 0 -0.0706092	
0.16	1655.04 -2.47569 0 0 0 -3.66721	-1653.76 -0.299007 0 0 0 -0.885092	-0.251667 0.75937 0 0 0 0.279689	0.500598 -0.721172 0 0 0 -0.662406	-0.552143 0.0264417 0 0 0 0.459349	0.532676 -0.0231679 0 0 0 -0.60774	-0.0624179 -0.950406 0 0 0 0.350223	0.302875 0.269537 0 0 0 -0.542168	0.0718478 -0.768392 0 0 0 0.314567	0.163684 -0.596167 0 0 0 -0.419315	-0.0426132 0.0396899 0 0 0 0.105817	0.0517686 -1.01056 0 0 0 -0.0501696	-0.130276 -0.167504 0 0 0 -0.0686763	-0.0804134 -0.377678 0 0 0 0.141367	-0.179029 -0.906234 0 0 0 -0.010158	-0.19056 -0.0628065 0 0 0 0.00472999	-0.252303 -0.720042 0 0 0 0.0946359	-0.232156 -0.622243 0 0 0 -0.116763	-0.333367 -0.0659291 0 0 0 0.0241343	-0.265978 -0.874559 0 0 0 0.0160507	-0.328324 -0.263482 0 0 0 -0.0963213	
0.17	1504.62 -2.47662 0 0 0 -3.8643	-1503.29 -0.502619 0 0 0 -0.95088	-0.260856 0.78972 0 0 0 0.10348	0.495422 -0.703214 0 0 0 -0.626023	-0.620164 -0.0445614 0 0 0 0.219048	0.55127 0.129322 0 0 0 -0.703199	-0.07088 -0.933324 0 0 0 0.210005	0.326543 0.506508 0 0 0 -0.331161	0.089697 -0.884007 0 0 0 0.38645	0.197564 -0.5542 0 0 0 -0.306839	-0.0204088 0.0672682 0 0 0 0.10682	0.0618116 -1.17338 0 0 0 0.0973314	-0.11985 -0.358907 0 0 0 -0.251135	-0.077952 -0.164416 0 0 0 0.0474532	-0.184893 -1.01069 0 0 0 -0.163783	-0.194538 0.0430687 0 0 0 -0.020795	-0.264717 -0.718046 0 0 0 0.0952792	-0.248114 -0.462254 0 0 0 -0.0274183	-0.348102 -0.0113695 0 0 0 0.181297	-0.289423 -1.09919 0 0 0 0.111113	-0.348131 -0.249079 0 0 0 -0.0854431	
0.18	1368.23 -2.80823 0 0 0 -4.27086	-1366.47 -0.304304 0 0 0 -1.04545	-0.304508 0.852552 0 0 0 0.00963134	0.460947 -0.685003 0 0 0 -0.616218	-0.669888 0.00853846 0 0 0 0.163445	0.537354 0.0976486 0 0 0 -0.537076	-0.0935859 -0.922024 0 0 0 0.144577	0.329703 0.409765 0 0 0 -0.368131	0.097814 -0.78284 0 0 0 0.234293	0.198986 -0.617615 0 0 0 -0.252194	-0.0164326 0.117717 0 0 0 0.00833074	0.05067 -1.11473 0 0 0 0.104525	-0.129461 -0.258782 0 0 0 -0.266129	-0.100656 -0.262848 0 0 0 0.180881	-0.210249 -0.991332 0 0 0 -0.136782	-0.221779 0.012412 0 0 0 0.0255854	-0.29876 -0.718741 0 0 0 0.0617526	-0.2858 -0.594269 0 0 0 -0.0607427	-0.38429 0.0131191 0 0 0 0.0997425	-0.333029 -1.02331 0 0 0 0.0772805	-0.388975 -0.237713 0 0 0 -0.108742	
0.19	1244.28 -2.76338 0 0 0 -4.44522	-1242.11 -0.461004 0 0 0 -1.06842	-0.297124 0.829352 0 0 0 -0.0779872	0.419924 -0.662552 0 0 0 -0.529774	-0.743324 -0.0250463 0 0 0 0.00199459	0.509476 0.196315 0 0 0 -0.60531	-0.109422 -0.921347 0 0 0 0.0360365	0.305239 0.549763 0 0 0 -0.185031	0.103121 -0.828477 0 0 0 0.28175	0.204038 -0.58108 0 0 0 -0.2004	-0.0130111 0.119418 0 0 0 -0.00347147	0.0326372 -1.22073 0 0 0 0.215373	-0.138497 -0.381497 0 0 0 -0.35989	-0.120459 -0.109694 0 0 0 0.0991482	-0.235906 -1.06651 0 0 0 -0.254073	-0.244168 0.0665405 0 0 0 0.0168361	-0.326814 -0.712128 0 0 0 0.0762344	-0.315432 -0.479809 0 0 0 0.00460884	-0.411951 0.0484194 0 0 0 0.180867	-0.368054 -1.17693 0 0 0 0.141332	-0.420061 -0.22963 0 0 0 -0.0844773	
0.2	1131.27 -3.00315 0 0 0 -4.82846	-1128.99 -0.301381 0 0 0 -1.05945	-0.346277 0.864006 0 0 0 -0.135782	0.36611 -0.644843 0 0 0 -0.530022	-0.776455 -0.000329326 0 0 0 -0.0307568	0.469629 0.159354 0 0 0 -0.43488	-0.119666 -0.879823 0 0 0 -0.0102277	0.29827 0.45706 0 0 0 -0.228922	0.124757 -0.747847 0 0 0 0.152376	0.207746 -0.633372 0 0 0 -0.131058	0.00992775 0.153258 0 0 0 -0.0653554	0.0397139 -1.15125 0 0 0 0.194405	-0.126603 -0.310033 0 0 0 -0.373635	-0.120297 -0.210655 0 0 0 0.206941	-0.231426 -1.02916 0 0 0 -0.215344	-0.240858 0.0381731 0 0 0 0.0472554	-0.324959 -0.706857 0 0 0 0.0318613	-0.31545 -0.592835 0 0 0 -0.0138087	-0.407297 0.0509877 0 0 0 0.123465	-0.36941 -1.09249 0 0 0 0.118856	-0.417925 -0.228813 0 0 0 -0.114036	
