# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
1.12	0 -19.6204 0 0 0 -9.81134	
1.13	0 -19.6205 0 0 0 -9.81138	
1.14	0 -19.6205 0 0 0 -9.81143	
1.15	0 -19.6205 0 0 0 -9.81139	
1.16	0 -19.6205 0 0 0 -9.81135	
1.17	0 -19.6205 0 0 0 -9.81131	
1.18	0 -19.6205 0 0 0 -9.81127	
1.19	0 -19.6205 0 0 0 -9.81124	
1.2	0 -19.6205 0 0 0 -9.8112	
1.21	0 -19.6204 0 0 0 -9.81116	
1.22	0 -19.6204 0 0 0 -9.81112	
1.23	0 -19.6204 0 0 0 -9.81108	
1.24	0 -19.6204 0 0 0 -9.81104	
1.25	0 -19.6204 0 0 0 -9.811	
1.26	0 -19.6204 0 0 0 -9.81096	
1.27	0 -19.6204 0 0 0 -9.81092	
1.28	0 -19.6203 0 0 0 -9.81088	
1.29	0 -19.6203 0 0 0 -9.81084	
1.3	0 -19.6203 0 0 0 -9.8108	
1.31	0 -19.6203 0 0 0 -9.81076	
1.32	0 -19.6203 0 0 0 -9.81072	
1.33	0 -19.6203 0 0 0 -9.81068	
1.34	0 -19.6203 0 0 0 -9.81064	
1.35	0 -19.6203 0 0 0 -9.8106	
1.36	0 -19.6202 0 0 0 -9.81056	
1.37	0 -19.6202 0 0 0 -9.81052	
1.38	0 -19.6202 0 0 0 -9.81048	
1.39	0 -19.6202 0 0 0 -9.81045	
1.4	0 -19.6202 0 0 0 -9.81041	
1.41	0 -19.6202 0 0 0 -9.81037	
1.42	0 -19.6202 0 0 0 -9.81033	
1.43	0 -19.6201 0 0 0 -9.81029	
1.44	0 -19.6201 0 0 0 -9.81025	
1.45	0 -19.6201 0 0 0 -9.81021	
1.46	0 -19.6201 0 0 0 -9.81017	
1.47	0 -19.6201 0 0 0 -9.81013	
1.48	0 -19.6201 0 0 0 -9.81009	
1.49	0 -19.6201 0 0 0 -9.81005	
1.5	0 -19.62 0 0 0 -9.81001	
1.51	0 -19.62 0 0 0 -9.80997	
1.52	0 -19.62 0 0 0 -9.80993	
1.53	0 -19.62 0 0 0 -9.80989	
1.54	0 -19.62 0 0 0 -9.80985	
1.55	-31415.9 -19.62 0 0 0 -9.80981	
1.56	-28568.2 -19.62 0 0 0 -9.80977	
1.57	-25970.4 -19.62 0 0 0 -9.80973	
1.58	-23608.7 -19.6199 0 0 0 -9.8097	
1.59	-21461.9 -19.6199 0 0 0 -9.80966	
1.6	-19510.2 -19.6199 0 0 0 -9.80962	
1.61	-17736.1 -19.6199 0 0 0 -9.80958	
1.62	-16123.2 -19.6199 0 0 0 -9.80954	
1.63	-14657.1 -19.6199 0 0 0 -9.8095	
1.64	-13324.2 -19.6199 0 0 0 -9.80946	
1.65	-12112.6 -19.6198 0 0 0 -9.80942	
1.66	-11011.1 -19.6198 0 0 0 -9.80938	
1.67	-10009.8 -19.6198 0 0 0 -9.80935	
1.68	-9099.58 -19.6198 0 0 0 -9.80931	
1.69	-8272.11 -19.6198 0 0 0 -9.80927	
1.7	-7519.89 -19.6198 0 0 0 -9.80923	
1.71	-6836.06 -19.6197 0 0 0 -9.80919	
1.72	-6214.42 -19.6197 0 0 0 -9.80916	
1.73	-5649.32 -19.6197 0 0 0 -9.80912	
1.74	-5135.59 -19.6197 0 0 0 -9.80908	
1.75	-4668.59 -19.6197 0 0 0 -9.80904	
1.76	-4244.05 -19.6197 0 0 0 -9.80901	
1.77	-3858.12 -19.6197 0 0 0 -9.80897	
1.78	-3507.28 -19.6196 0 0 0 -9.80894	
1.79	-3188.34 -19.6196 0 0 0 -9.8089	
1.8	-2898.41 -19.6196 0 0 0 -9.80886	
1.81	-2634.84 -19.6196 0 0 0 -9.80883	
1.82	-2395.24 -19.6196 0 0 0 -9.80879	
1.83	-2177.43 -19.6196 0 0 0 -9.80876	
1.84	-1979.43 -19.6196 0 0 0 -9.80872	
1.85	-1799.43 -19.6195 0 0 0 -9.80869	
1.86	-1635.8 -19.6195 0 0 0 -9.80866	
1.87	-1487.04 -19.6195 0 0 0 -9.80862	
1.88	-1351.82 -19.6195 0 0 0 -9.80859	
1.89	-1228.89 -19.6195 0 0 0 -9.80856	
1.9	-1117.14 -19.6195 0 0 0 -9.80852	
1.91	-1015.55 -19.6195 0 0 0 -9.80849	
1.92	-923.205 -19.6195 0 0 0 -9.80846	
1.93	-839.253 -19.6194 0 0 0 -9.80843	
1.94	-762.936 -19.6194 0 0 0 -9.8084	
1.95	-693.558 -19.6194 0 0 0 -9.80837	
1.96	-630.489 -19.6194 0 0 0 -9.80834	
1.97	-573.156 -19.6194 0 0 0 -9.80831	
